Time,Ry,Ay,Vy,Y
0.416,1649.716126,14.46053126,-1.115545945,-0.34071367
0.417,1663.01239,14.65606456,-1.10088988,-0.34181456
0.418,1676.890808,14.86015894,-1.086029721,-0.34290059
0.419,1691.283997,15.07182349,-1.070957898,-0.343971548
0.42,1706.110595,15.28986169,-1.055668036,-0.345027216
0.421,1721.277954,15.51291109,-1.040155125,-0.346067371
0.422,1736.684449,15.73947719,-1.024415648,-0.347091787
0.423,1752.222045,15.96797125,-1.008447677,-0.348100234
0.424,1767.77887,16.19674809,-0.992250928,-0.349092485
0.425,1783.241761,16.42414354,-0.975826785,-0.350068312
0.426,1798.499695,16.64852493,-0.95917826,-0.35102749
0.427,1813.448425,16.86835919,-0.942309901,-0.3519698
0.428,1827.993653,17.0822596,-0.925227641,-0.352895028
0.429,1842.05481,17.28904132,-0.9079386,-0.353802966
0.43,1855.566284,17.48773947,-0.89045086,-0.354693417
0.431,1868.477417,17.67760907,-0.872773251,-0.355566191
0.432,1880.749817,17.85808554,-0.854915166,-0.356421106
0.433,1892.35437,18.02874074,-0.836886425,-0.357257992
0.434,1903.266358,18.18921115,-0.818697214,-0.358076689
0.435,1913.462219,18.33915028,-0.800358064,-0.358877047
0.436,1922.917298,18.47819556,-0.781879868,-0.359658927
0.437,1931.605957,18.60596996,-0.763273898,-0.360422201
0.438,1939.503662,18.72211268,-0.744551785,-0.361166753
0.439,1946.590027,18.82632393,-0.725725461,-0.361892478
0.44,1952.852722,18.91842238,-0.706807039,-0.362599285
0.441,1958.2901,18.99838382,-0.687808655,-0.363287094
0.442,1962.913208,19.06637071,-0.668742285,-0.363955836
0.443,1966.745728,19.12273129,-0.649619553,-0.364605456
0.444,1969.823181,19.16798796,-0.630451565,-0.365235908
0.445,1972.191772,19.20282018,-0.611248745,-0.365847156
0.446,1973.905334,19.22801962,-0.592020726,-0.366439177
0.447,1975.023316,19.24446053,-0.572776265,-0.367011953
0.448,1975.607056,19.25304494,-0.55352322,-0.367565476
0.449,1975.717529,19.25466954,-0.534268551,-0.368099745
0.45,1975.412415,19.25018257,-0.515018368,-0.368614763
0.451,1974.744812,19.24036488,-0.495778003,-0.369110541
0.452,1973.762573,19.22592019,-0.476552083,-0.369587093
0.453,1972.509094,19.20748668,-0.457344596,-0.370044438
0.454,1971.023682,19.18564238,-0.438158954,-0.370482597
0.455,1969.341431,19.1609034,-0.41899805,-0.370901595
0.456,1967.493958,19.13373468,-0.399864316,-0.371301459
0.457,1965.508117,19.10453113,-0.380759785,-0.371682219
0.458,1963.407043,19.07363299,-0.361686152,-0.372043905
0.459,1961.209899,19.04132204,-0.34264483,-0.37238655
0.46,1958.933044,19.00783888,-0.323636991,-0.372710187
0.461,1956.591675,18.97340699,-0.304663584,-0.373014851
